Operacao,TamanhoEntrada,TempoExecucao(ns),MemoriaUso(bytes)
I,5,1100,0
I,10,1000,0
I,15,1000,0
I,20,800,0
I,25,1000,0
I,30,900,0
I,35,1000,0
I,40,1000,0
I,45,1000,0
I,50,1000,0
I,55,1100,0
I,60,1000,0
I,65,1200,0
I,70,1500,0
I,75,1000,0
I,80,1000,0
I,85,1100,0
I,90,1000,0
I,95,1000,0
I,100,1100,0
I,105,1500,0
I,110,1100,0
I,115,900,0
I,120,900,0
I,125,1100,0
I,130,2500,0
I,135,1000,0
I,140,1000,0
I,145,1000,0
I,150,1000,0
I,155,1000,0
I,160,800,0
I,165,1000,0
I,170,1000,0
I,175,600,0
I,180,600,0
I,185,600,0
I,190,500,0
I,195,600,0
I,200,600,0
I,205,600,0
I,210,600,0
I,215,600,0
I,220,600,0
I,225,600,0
I,230,700,0
I,235,600,0
I,240,900,0
I,245,1200,0
I,250,700,0
I,255,900,0
I,260,1300,0
I,265,1100,0
I,270,900,0
I,275,800,0
I,280,800,0
I,285,800,0
I,290,800,0
I,295,800,0
I,300,700,0
I,305,700,0
I,310,700,0
I,315,700,0
I,320,700,0
I,325,700,0
I,330,700,0
I,335,500,0
I,340,600,0
I,345,500,0
I,350,500,0
I,355,600,0
I,360,600,0
I,365,600,0
I,370,600,0
I,375,500,0
I,380,600,0
I,385,600,0
I,390,600,0
I,395,600,0
I,400,600,0
I,405,600,0
I,410,600,0
I,415,600,0
I,420,600,0
I,425,600,0
I,430,500,0
I,435,600,0
I,440,600,0
I,445,600,0
I,450,600,0
I,455,600,0
I,460,600,0
I,465,600,0
I,470,600,0
I,475,600,0
I,480,600,0
I,485,600,0
I,490,600,0
I,495,500,0
I,500,500,0
I,505,600,0
I,510,600,0
I,515,600,0
I,520,600,0
I,525,600,0
I,530,600,0
I,535,600,0
I,540,500,0
I,545,800,0
I,550,300,0
I,555,300,0
I,560,300,0
I,565,300,0
I,570,300,0
I,575,300,0
I,580,300,0
I,585,300,0
I,590,300,0
I,595,400,0
I,600,300,0
I,605,300,0
I,610,300,0
I,615,300,0
I,620,300,0
I,625,300,0
I,630,300,0
I,635,300,0
I,640,300,0
I,645,300,0
I,650,300,0
I,655,300,0
I,660,300,0
I,665,300,0
I,670,300,0
I,675,300,0
I,680,300,0
I,685,300,0
I,690,300,0
I,695,500,0
I,700,500,0
I,705,500,0
I,710,500,0
I,715,400,0
I,720,500,0
I,725,500,0
I,730,500,0
I,735,400,0
I,740,500,0
I,745,500,0
I,750,400,0
I,755,500,0
I,760,500,0
I,765,400,0
I,770,500,0
I,775,500,0
I,780,400,0
I,785,500,0
I,790,500,0
I,795,500,0
I,800,500,0
I,805,500,0
I,810,500,0
I,815,400,0
I,820,400,0
I,825,500,0
I,830,500,0
I,835,500,0
I,840,500,0
I,845,500,0
I,850,500,0
I,855,500,0
I,860,500,0
I,865,500,0
