Estrutura tipo tamanho %Insertion %Remove time memory
heap random 10^3 100%Insertion 0%Remove 201644 0
heap random 10^6 100%Insertion 0%Remove 24772367 15122512
heap random 10^3 50%Insertion 50%Remove 219582 0
heap random 10^6 50%Insertion 50%Remove 41578935 0
heap random 10^3 75%Insertion 25%Remove 215795 0
heap random 10^6 75%Insertion 25%Remove 40598966 6750176
heap crescente 10^6 75%Insertion 25%Remove 47755982 6750176
heap crescente 10^3 75%Insertion 25%Remove 204858 0
heap crescente 10^6 50%Insertion 50%Remove 37860193 0
heap crescente 10^3 50%Insertion 50%Remove 204601 0
heap crescente 10^3 100%Insertion 0%Remove 177152 0
heap crescente 10^6 100%Insertion 0%Remove 42502525 15163488
heap decrescente 10^3 100%Insertion 0%Remove 165835 0
heap decrescente 10^6 100%Insertion 0%Remove 16982085 15163488
heap decrescente 10^3 75%Insertion 25%Remove 197146 0
heap decrescente 10^6 75%Insertion 25%Remove 32561675 6750176
heap decrescente 10^3 50%Insertion 50%Remove 168277 0
heap decrescente 10^6 50%Insertion 50%Remove 43486436 0
PriorityQueue random 10^3 100%Insertion 0%Remove 337931 0
PriorityQueue random 10^3 75%Insertion 25%Remove 244088 0
PriorityQueue random 10^3 50%Insertion 50%Remove 227690 0
PriorityQueue random 10^6 50%Insertion 50%Remove 40548835 0
PriorityQueue crescente 10^3 100%Insertion 0%Remove 311340 0
PriorityQueue crescente 10^3 50%Insertion 50%Remove 221074 0
PriorityQueue crescente 10^3 75%Insertion 25%Remove 208854 0
PriorityQueue crescente 10^6 50%Insertion 50%Remove 40531608 0
PriorityQueue crescente 10^6 75%Insertion 25%Remove 51581822970 6750176
